id,phenograph,ct_broad
1200,5,cancer cell
1201,8,other
1205,15,myofibroblast
1206,34,cancer cell
1207,3,cancer cell
1208,25,immune cell
1209,11,cancer cell
1211,8,other
1212,4,cancer cell
1213,12,cancer cell
1214,9,other
1219,12,cancer cell
1220,4,cancer cell
1221,2,cancer cell
1222,2,cancer cell
1226,3,cancer cell
1227,5,cancer cell
1228,2,cancer cell
1229,-1,other
1233,5,cancer cell
1234,5,cancer cell
1239,22,stromal cell
1240,25,immune cell
1241,22,stromal cell
1243,29,other
1244,34,cancer cell
1245,22,stromal cell
1246,6,cancer cell
1247,20,cancer cell
1248,4,cancer cell
1249,13,immune cell
1251,8,other
1253,20,cancer cell
1254,11,cancer cell
1255,6,cancer cell
1256,3,cancer cell
1260,4,cancer cell
1261,5,cancer cell
1262,5,cancer cell
1264,5,cancer cell
1265,11,cancer cell
1266,34,cancer cell
1268,19,other
1269,5,cancer cell
1271,11,cancer cell
1272,12,cancer cell
1273,5,cancer cell
1274,3,cancer cell
1275,3,cancer cell
1277,18,immune cell
1278,5,cancer cell
1279,5,cancer cell
1280,3,cancer cell
1281,3,cancer cell
1284,13,immune cell
1285,2,cancer cell
1286,12,cancer cell
1287,13,immune cell
1290,5,cancer cell
1291,-1,other
1292,-1,other
1293,21,endothelial cell
1297,14,stromal cell
1298,11,cancer cell
1299,3,cancer cell
1302,1,cancer cell
1303,11,cancer cell
1304,6,cancer cell
1307,11,cancer cell
1308,-1,other
1312,6,cancer cell
1313,11,cancer cell
1314,5,cancer cell
1316,12,cancer cell
1317,12,cancer cell
1318,5,cancer cell
1319,5,cancer cell
1325,5,cancer cell
1326,37,cancer cell
1329,12,cancer cell
1330,5,cancer cell
1331,5,cancer cell
1332,34,cancer cell
1333,21,endothelial cell
1337,2,cancer cell
1338,4,cancer cell
1339,11,cancer cell
1340,-1,other
1345,18,immune cell
1346,22,stromal cell
1347,11,cancer cell
1348,4,cancer cell
1349,5,cancer cell
1350,9,other
1355,2,cancer cell
1356,12,cancer cell
1357,34,cancer cell
1359,34,cancer cell
1362,15,myofibroblast
1363,5,cancer cell
1366,3,cancer cell
1367,8,other
1368,3,cancer cell
1369,1,cancer cell
1370,3,cancer cell
1372,15,myofibroblast
1373,2,cancer cell
1374,3,cancer cell
1378,3,cancer cell
1379,11,cancer cell
1380,20,cancer cell
1381,3,cancer cell
1384,3,cancer cell
1388,12,cancer cell
1389,5,cancer cell
1390,34,cancer cell
1392,13,immune cell
1393,11,cancer cell
1394,5,cancer cell
1395,12,cancer cell
1396,37,cancer cell
1397,12,cancer cell
1398,11,cancer cell
1399,-1,other
1403,12,cancer cell
1404,11,cancer cell
1405,3,cancer cell
1407,11,cancer cell
1408,5,cancer cell
1409,12,cancer cell
1410,-1,other
1413,19,other
1414,3,cancer cell
1416,1,cancer cell
1419,11,cancer cell
1420,13,immune cell
1421,-1,other
1422,34,cancer cell
1423,3,cancer cell
1424,5,cancer cell
1425,9,other
1427,5,cancer cell
1428,5,cancer cell
1429,5,cancer cell
1430,9,other
1431,-1,other
1433,37,cancer cell
1434,13,immune cell
1436,5,cancer cell
1437,37,cancer cell
1438,12,cancer cell
1439,5,cancer cell
