id,phenograph,ct_broad
13489,4,cancer cell
13492,5,cancer cell
13493,19,other
13494,34,cancer cell
13495,2,cancer cell
13496,20,cancer cell
13497,11,cancer cell
13498,37,cancer cell
13499,34,cancer cell
13501,2,cancer cell
13502,5,cancer cell
13503,5,cancer cell
13505,2,cancer cell
13506,20,cancer cell
13507,5,cancer cell
13508,19,other
13509,11,cancer cell
13510,4,cancer cell
13512,2,cancer cell
13513,16,other
13514,2,cancer cell
13515,14,stromal cell
13516,16,other
13517,34,cancer cell
13518,3,cancer cell
13521,1,cancer cell
13522,5,cancer cell
13523,29,other
13525,5,cancer cell
13526,12,cancer cell
13527,11,cancer cell
13528,15,myofibroblast
13529,23,plasma cell
13530,23,plasma cell
13531,19,other
13532,3,cancer cell
13535,12,cancer cell
13537,14,stromal cell
13538,19,other
13540,5,cancer cell
13541,5,cancer cell
13542,11,cancer cell
13543,34,cancer cell
13544,11,cancer cell
13545,3,cancer cell
13549,11,cancer cell
13550,11,cancer cell
13551,11,cancer cell
13552,21,endothelial cell
13553,11,cancer cell
13554,5,cancer cell
13555,12,cancer cell
13561,4,cancer cell
13562,23,other
13563,32,cancer cell
13564,3,cancer cell
13565,2,cancer cell
13569,16,other
13570,2,cancer cell
13571,2,cancer cell
13572,5,cancer cell
13573,19,other
13575,5,cancer cell
13576,34,cancer cell
13577,7,cancer cell
13579,5,cancer cell
13580,7,cancer cell
13581,2,cancer cell
13582,9,other
13583,37,cancer cell
13584,34,cancer cell
13588,34,cancer cell
13589,17,myofibroblast
13590,34,cancer cell
13591,2,cancer cell
13592,34,cancer cell
13593,34,cancer cell
13594,5,cancer cell
13595,15,myofibroblast
13597,14,stromal cell
13598,34,cancer cell
13600,2,cancer cell
13601,5,cancer cell
13602,12,cancer cell
13604,34,cancer cell
13605,11,cancer cell
13606,14,stromal cell
13610,2,cancer cell
13613,34,cancer cell
13614,34,cancer cell
13616,34,cancer cell
13617,4,cancer cell
13619,34,cancer cell
13620,15,myofibroblast
13621,20,cancer cell
13622,22,stromal cell
13623,30,other
13625,34,cancer cell
13627,2,cancer cell
13628,19,other
13629,2,cancer cell
13630,2,cancer cell
13631,34,cancer cell
13632,34,cancer cell
13977,2,cancer cell
13978,-1,other
13981,11,cancer cell
13982,17,myofibroblast
13983,17,myofibroblast
13984,17,myofibroblast
13985,5,cancer cell
13987,5,cancer cell
13989,29,other
13992,-1,other
13993,17,myofibroblast
13996,17,myofibroblast
13997,25,immune cell
13998,1,cancer cell
14000,2,cancer cell
14001,16,other
14005,18,immune cell
14006,13,immune cell
14008,13,immune cell
14009,19,other
14010,9,other
14011,9,other
14012,18,immune cell
14013,13,immune cell
14014,13,immune cell
14015,13,immune cell
14018,17,myofibroblast
14020,25,immune cell
14021,26,other
14022,-1,other
14024,13,immune cell
14028,13,immune cell
14029,26,immune cell
14030,-1,other
14031,-1,other
14032,21,endothelial cell
14033,14,stromal cell
14034,13,immune cell
14035,13,immune cell
14037,5,cancer cell
14039,21,endothelial cell
14041,5,cancer cell
14044,2,cancer cell
14045,14,stromal cell
14046,27,stromal cell
14047,25,immune cell
14050,-1,other
14052,9,other
14053,18,immune cell
14056,2,cancer cell
14057,25,immune cell
14058,18,immune cell
14059,13,immune cell
14061,17,myofibroblast
14062,27,stromal cell
14063,18,immune cell
14064,17,myofibroblast
14065,13,immune cell
14067,26,other
14069,18,immune cell
14070,18,immune cell
14071,20,cancer cell
14072,13,immune cell
14073,-1,other
14075,3,cancer cell
14076,18,immune cell
14077,13,immune cell
14080,-1,other
14083,22,stromal cell
14085,21,endothelial cell
14088,17,myofibroblast
14091,14,stromal cell
14092,13,immune cell
14093,17,myofibroblast
14094,14,stromal cell
14095,14,stromal cell
14096,2,cancer cell
14097,14,stromal cell
14101,-1,other
14103,14,stromal cell
14104,22,stromal cell
14105,19,other
14106,9,other
14107,-1,other
14109,15,myofibroblast
14110,14,stromal cell
14111,2,cancer cell
14112,27,stromal cell
14113,18,immune cell
14115,2,cancer cell
14118,5,cancer cell
14119,2,cancer cell
14120,13,immune cell
14121,2,cancer cell
14122,-1,other
14123,5,cancer cell
14125,2,cancer cell
14126,2,cancer cell
14127,-1,other
14130,20,cancer cell
14131,3,cancer cell
14136,16,other
14137,5,cancer cell
14138,5,cancer cell
14139,18,immune cell
14140,2,cancer cell
14142,5,cancer cell
14143,20,cancer cell
14144,6,cancer cell
14145,4,cancer cell
14146,5,cancer cell
14147,21,endothelial cell
14148,13,immune cell
14149,9,other
14150,22,stromal cell
14151,18,immune cell
14154,5,cancer cell
14156,4,cancer cell
14157,20,cancer cell
14158,2,cancer cell
14161,25,immune cell
14162,11,cancer cell
14164,5,cancer cell
14165,22,stromal cell
14167,15,myofibroblast
14168,5,cancer cell
14170,4,cancer cell
14171,34,cancer cell
14172,3,epithelial cell
14173,12,cancer cell
14174,5,cancer cell
14175,11,cancer cell
14176,5,cancer cell
14177,20,cancer cell
14178,2,cancer cell
14180,-1,other
14181,31,cancer cell
14182,4,cancer cell
14183,1,cancer cell
14184,5,cancer cell
14189,12,cancer cell
14190,5,cancer cell
14191,22,stromal cell
14192,6,cancer cell
14194,13,immune cell
14196,2,cancer cell
14197,2,cancer cell
14198,34,cancer cell
14199,-1,other
14201,11,cancer cell
14203,20,cancer cell
14206,11,cancer cell
14207,2,cancer cell
14208,28,immune cell
14209,14,stromal cell
14210,34,cancer cell
14211,1,cancer cell
14212,2,cancer cell
14214,1,cancer cell
14217,34,cancer cell
14218,12,cancer cell
14219,12,cancer cell
14220,5,cancer cell
14221,-1,other
14223,6,cancer cell
14224,14,stromal cell
14225,1,cancer cell
14226,11,cancer cell
14228,11,cancer cell
14229,12,cancer cell
14230,2,cancer cell
14232,12,cancer cell
14233,34,cancer cell
14234,12,cancer cell
14236,34,cancer cell
14238,19,other
14240,6,cancer cell
14242,11,cancer cell
14243,12,cancer cell
14244,19,other
14245,1,cancer cell
14246,32,cancer cell
14247,11,cancer cell
14248,5,cancer cell
14250,11,cancer cell
14251,34,cancer cell
14254,11,cancer cell
14255,-1,other
14256,11,cancer cell
14257,18,immune cell
14260,11,cancer cell
14262,34,cancer cell
14263,5,cancer cell
14264,15,myofibroblast
14265,1,cancer cell
14266,1,cancer cell
14267,12,cancer cell
14269,19,other
14270,4,cancer cell
14272,12,cancer cell
14273,12,cancer cell
14274,27,stromal cell
14276,6,cancer cell
14277,29,other
14280,34,cancer cell
14281,9,other
14282,19,other
14283,21,endothelial cell
14284,34,cancer cell
14286,14,stromal cell
14288,11,cancer cell
14292,-1,other
14293,4,cancer cell
14294,29,other
14295,18,immune cell
14296,3,cancer cell
14297,2,cancer cell
14299,11,cancer cell
14300,11,cancer cell
14301,29,other
14303,11,cancer cell
14304,11,cancer cell
14305,11,cancer cell
14306,6,cancer cell
14307,12,cancer cell
14308,27,stromal cell
14310,5,cancer cell
14312,12,cancer cell
14313,21,endothelial cell
14314,11,cancer cell
14315,11,cancer cell
14319,17,myofibroblast
14320,5,cancer cell
14321,5,cancer cell
14323,14,stromal cell
14324,1,cancer cell
14326,32,cancer cell
14327,11,cancer cell
14329,12,cancer cell
14332,12,cancer cell
14335,17,myofibroblast
14336,37,cancer cell
14337,5,cancer cell
14339,4,cancer cell
14341,11,cancer cell
14342,20,cancer cell
14343,17,myofibroblast
14346,12,cancer cell
14348,14,stromal cell
14349,12,cancer cell
14350,5,cancer cell
14351,19,other
14353,34,cancer cell
14354,6,cancer cell
14355,4,cancer cell
14358,11,cancer cell
14359,11,cancer cell
14362,4,cancer cell
14363,12,cancer cell
14364,2,cancer cell
14367,34,cancer cell
14368,11,cancer cell
14369,15,myofibroblast
14370,29,other
14371,17,myofibroblast
14372,4,cancer cell
14373,1,cancer cell
14377,19,other
14378,17,myofibroblast
14380,2,cancer cell
14381,11,cancer cell
14382,11,cancer cell
14384,19,other
14385,20,cancer cell
14386,6,cancer cell
14387,1,cancer cell
14388,34,cancer cell
14390,14,stromal cell
14392,19,other
14393,2,cancer cell
14395,11,cancer cell
14396,6,cancer cell
14397,6,cancer cell
14398,12,cancer cell
14401,12,cancer cell
14403,4,cancer cell
14404,12,cancer cell
14405,28,immune cell
14407,11,cancer cell
14408,4,cancer cell
14409,19,other
14410,34,cancer cell
14411,11,cancer cell
14412,6,cancer cell
14414,6,cancer cell
14416,1,cancer cell
14417,34,cancer cell
14419,6,cancer cell
14420,29,other
14421,11,cancer cell
14422,15,myofibroblast
14423,1,cancer cell
14425,23,plasma cell
14426,12,cancer cell
14427,15,myofibroblast
14428,5,cancer cell
14429,1,cancer cell
14430,19,other
14435,12,cancer cell
14436,37,cancer cell
14438,11,cancer cell
14439,12,cancer cell
14440,8,other
14442,11,cancer cell
14443,29,other
14444,19,other
14446,19,other
14447,-1,other
14448,5,cancer cell
14449,11,cancer cell
14450,11,cancer cell
14451,11,cancer cell
14452,11,cancer cell
14453,12,cancer cell
14454,12,cancer cell
14458,7,cancer cell
14459,1,cancer cell
14460,5,cancer cell
14462,12,cancer cell
14463,2,cancer cell
14464,12,cancer cell
14467,20,cancer cell
14468,5,cancer cell
14470,5,cancer cell
14471,5,cancer cell
14473,20,cancer cell
14474,12,epithelial cell
14475,19,other
14476,1,cancer cell
14477,19,other
14479,11,cancer cell
14480,19,other
14481,12,cancer cell
14482,17,myofibroblast
14484,37,cancer cell
14486,20,cancer cell
14488,2,cancer cell
14489,11,cancer cell
14491,1,cancer cell
14493,15,myofibroblast
14494,22,stromal cell
14496,34,cancer cell
14497,11,cancer cell
14498,5,cancer cell
14499,1,cancer cell
14500,6,cancer cell
14501,12,cancer cell
14503,13,immune cell
14505,19,other
14506,11,cancer cell
14507,19,other
14508,20,cancer cell
14509,20,cancer cell
14510,15,myofibroblast
14511,5,cancer cell
14512,5,cancer cell
14515,5,cancer cell
14517,32,cancer cell
14518,19,other
14519,29,other
14521,11,cancer cell
14522,5,cancer cell
14523,18,immune cell
14524,11,cancer cell
14525,34,cancer cell
14526,5,cancer cell
14528,5,cancer cell
14529,12,cancer cell
14530,13,immune cell
14531,15,myofibroblast
14532,11,cancer cell
14533,34,cancer cell
14534,19,other
14535,5,cancer cell
14536,12,cancer cell
14537,5,cancer cell
14538,5,cancer cell
14539,13,immune cell
14540,29,other
14541,3,cancer cell
14543,3,cancer cell
14546,16,other
14547,1,cancer cell
14548,5,cancer cell
14549,12,cancer cell
14552,12,cancer cell
14554,1,cancer cell
14557,27,stromal cell
14558,11,cancer cell
14559,2,cancer cell
14560,2,cancer cell
14561,11,cancer cell
14562,5,cancer cell
14563,1,cancer cell
14565,5,cancer cell
14566,4,cancer cell
14567,2,cancer cell
14569,34,cancer cell
14571,20,cancer cell
14572,12,cancer cell
14573,2,cancer cell
14574,11,cancer cell
14575,5,cancer cell
14576,2,cancer cell
14577,4,cancer cell
14579,22,stromal cell
14580,5,cancer cell
14584,34,cancer cell
14585,11,cancer cell
14586,26,other
14587,34,cancer cell
14589,4,cancer cell
14591,5,cancer cell
14592,34,cancer cell
14593,29,other
14594,19,other
14595,21,endothelial cell
14596,3,cancer cell
14597,34,cancer cell
14598,2,cancer cell
14599,34,cancer cell
14600,14,stromal cell
14601,2,cancer cell
14602,14,stromal cell
14603,16,other
14604,22,stromal cell
14605,9,other
14606,1,cancer cell
14607,14,stromal cell
14608,1,cancer cell
14609,11,cancer cell
14611,18,immune cell
14612,14,stromal cell
14613,1,cancer cell
14614,3,cancer cell
14615,2,cancer cell
14616,19,other
14617,2,cancer cell
14933,12,cancer cell
14934,21,endothelial cell
14936,3,cancer cell
14939,26,immune cell
14940,18,immune cell
14942,11,cancer cell
14943,17,myofibroblast
14944,21,endothelial cell
14945,19,other
14948,13,immune cell
14949,13,immune cell
14952,17,myofibroblast
14953,21,endothelial cell
14955,25,immune cell
14957,27,stromal cell
14958,11,cancer cell
14960,18,immune cell
14961,13,immune cell
14963,17,myofibroblast
14964,13,immune cell
14965,18,immune cell
14966,18,immune cell
14968,18,immune cell
14969,4,cancer cell
14970,-1,other
14973,2,cancer cell
14974,18,immune cell
14975,14,stromal cell
14976,27,stromal cell
14979,2,cancer cell
14980,11,cancer cell
14981,6,cancer cell
14986,-1,other
14988,13,immune cell
14990,21,endothelial cell
14992,34,cancer cell
14993,26,immune cell
14994,18,immune cell
14995,-1,other
15000,20,cancer cell
15001,-1,other
15003,9,other
15009,25,immune cell
15010,9,other
15011,27,stromal cell
15012,-1,other
15013,-1,other
15015,27,stromal cell
15018,18,immune cell
15019,18,immune cell
15020,-1,other
15021,-1,other
15024,9,other
15026,5,cancer cell
15028,25,immune cell
15029,25,immune cell
15030,18,immune cell
15033,-1,other
15034,17,myofibroblast
15035,18,immune cell
15038,5,cancer cell
15039,15,myofibroblast
15040,5,cancer cell
15041,25,immune cell
15044,13,immune cell
15045,18,immune cell
15047,18,immune cell
15050,16,other
15052,37,cancer cell
15053,-1,other
15054,18,immune cell
15055,25,immune cell
15059,23,other
15060,14,stromal cell
15061,2,cancer cell
15062,2,cancer cell
15065,27,stromal cell
15068,2,cancer cell
15069,-1,other
15071,2,cancer cell
15072,25,immune cell
15075,3,cancer cell
15076,-1,other
15077,2,cancer cell
15078,13,immune cell
15079,13,immune cell
15081,5,cancer cell
15082,5,cancer cell
15083,-1,other
15084,3,cancer cell
15085,20,cancer cell
15087,18,immune cell
15088,4,cancer cell
15092,34,cancer cell
15093,11,cancer cell
15094,13,immune cell
15096,2,cancer cell
15098,18,immune cell
15103,5,cancer cell
15104,4,cancer cell
15107,5,cancer cell
15108,13,immune cell
15109,18,immune cell
15110,4,cancer cell
15111,2,cancer cell
15112,4,cancer cell
15113,-1,other
15115,12,cancer cell
15117,37,cancer cell
15118,2,cancer cell
15119,26,other
15122,13,immune cell
15124,2,cancer cell
15125,25,immune cell
15127,34,cancer cell
15129,37,cancer cell
15131,9,other
15133,34,cancer cell
15134,11,cancer cell
15135,13,immune cell
15136,4,cancer cell
15137,12,cancer cell
15138,5,cancer cell
15139,4,cancer cell
15141,5,cancer cell
15142,5,cancer cell
15143,4,cancer cell
15144,2,cancer cell
15145,37,cancer cell
15146,13,immune cell
15148,4,cancer cell
15153,1,cancer cell
15154,-1,other
15157,13,immune cell
15158,5,cancer cell
15159,37,cancer cell
15163,13,immune cell
15166,34,cancer cell
15168,5,cancer cell
15170,34,cancer cell
15171,12,cancer cell
15172,27,stromal cell
15174,20,cancer cell
15175,20,cancer cell
15176,2,cancer cell
15177,1,cancer cell
15178,11,cancer cell
15180,11,cancer cell
15182,20,cancer cell
15183,13,immune cell
15184,9,other
15185,21,endothelial cell
15187,11,cancer cell
15188,11,cancer cell
15189,19,other
15190,2,cancer cell
15191,4,cancer cell
15192,27,stromal cell
15194,-1,other
15197,11,cancer cell
15200,11,cancer cell
15201,11,cancer cell
15202,12,cancer cell
15203,12,cancer cell
15204,1,cancer cell
15206,1,cancer cell
15207,1,cancer cell
15208,6,cancer cell
15209,6,cancer cell
15212,11,cancer cell
15213,21,endothelial cell
15214,1,cancer cell
15215,21,endothelial cell
15216,9,other
15217,20,cancer cell
15219,12,cancer cell
15221,1,cancer cell
15223,1,cancer cell
15224,12,cancer cell
15226,11,cancer cell
15228,11,cancer cell
15229,34,cancer cell
15231,-1,other
15232,11,cancer cell
15233,1,cancer cell
15234,4,cancer cell
15236,34,cancer cell
15237,34,cancer cell
15238,12,cancer cell
15239,13,immune cell
15241,15,myofibroblast
15242,2,cancer cell
15246,12,cancer cell
15247,20,cancer cell
15250,3,cancer cell
15251,29,other
15253,18,immune cell
15256,2,cancer cell
15257,34,cancer cell
15258,11,cancer cell
15259,6,cancer cell
15261,1,cancer cell
15262,20,cancer cell
15263,13,immune cell
15264,2,cancer cell
15265,3,cancer cell
15266,5,cancer cell
15267,11,cancer cell
15268,11,cancer cell
15269,2,cancer cell
15271,12,cancer cell
15274,3,cancer cell
15277,8,other
15279,11,cancer cell
15282,4,cancer cell
15283,11,cancer cell
15284,2,cancer cell
15285,1,cancer cell
15286,14,stromal cell
15287,22,stromal cell
15290,1,cancer cell
15292,11,cancer cell
15293,5,cancer cell
15298,11,cancer cell
15302,26,other
15303,11,cancer cell
15304,2,cancer cell
15305,11,cancer cell
15307,11,cancer cell
15308,2,cancer cell
15310,20,cancer cell
15311,1,cancer cell
15313,1,cancer cell
15315,5,cancer cell
15316,5,cancer cell
15317,11,cancer cell
15318,1,cancer cell
15319,11,cancer cell
15320,14,stromal cell
15321,14,stromal cell
15322,5,cancer cell
15324,-1,other
15325,19,other
15326,8,other
15327,11,cancer cell
15330,11,cancer cell
15332,11,cancer cell
15334,3,cancer cell
15335,12,cancer cell
15336,29,other
15339,1,cancer cell
15342,19,other
15343,34,cancer cell
15345,12,cancer cell
15347,1,cancer cell
15350,11,cancer cell
15351,19,other
15354,1,cancer cell
15355,1,cancer cell
15357,11,cancer cell
15359,5,cancer cell
15360,4,cancer cell
15361,19,other
15362,2,cancer cell
15363,11,cancer cell
15364,11,cancer cell
15365,5,cancer cell
15366,19,other
15368,20,cancer cell
15370,4,cancer cell
15371,1,cancer cell
15372,23,plasma cell
15373,11,cancer cell
15374,11,cancer cell
15380,5,cancer cell
15381,4,cancer cell
15382,11,cancer cell
15384,12,cancer cell
15386,23,plasma cell
15387,13,immune cell
15389,2,cancer cell
15393,12,cancer cell
15395,12,cancer cell
15396,12,cancer cell
15399,4,cancer cell
15402,-1,other
15404,34,cancer cell
15405,5,cancer cell
15406,34,cancer cell
15407,5,cancer cell
15408,3,cancer cell
15409,11,cancer cell
15410,2,cancer cell
15411,4,cancer cell
15412,11,cancer cell
15413,12,cancer cell
15414,1,cancer cell
15418,11,cancer cell
15421,6,cancer cell
15422,11,cancer cell
15423,11,cancer cell
15424,4,cancer cell
15425,12,cancer cell
15426,12,cancer cell
15428,20,cancer cell
15430,2,cancer cell
15431,11,cancer cell
15432,19,other
15433,11,cancer cell
15434,6,cancer cell
15438,8,other
15439,2,cancer cell
15440,19,other
15442,11,cancer cell
15443,29,other
15444,2,cancer cell
15445,5,cancer cell
15447,34,cancer cell
15449,2,cancer cell
15450,16,other
15451,20,cancer cell
15452,33,immune cell
15454,20,cancer cell
15455,22,stromal cell
15456,11,cancer cell
15457,4,cancer cell
15458,3,cancer cell
15459,34,cancer cell
15460,5,cancer cell
15461,5,cancer cell
15462,11,cancer cell
15463,12,cancer cell
15464,11,cancer cell
15467,5,cancer cell
15468,12,cancer cell
15469,11,cancer cell
15470,34,cancer cell
15472,12,cancer cell
15473,13,immune cell
15474,29,other
15476,5,cancer cell
15478,12,cancer cell
15479,23,other
15480,16,other
15481,11,cancer cell
15484,11,cancer cell
15486,11,cancer cell
15488,4,cancer cell
15489,11,cancer cell
15493,18,immune cell
15494,12,cancer cell
15495,12,cancer cell
15496,13,immune cell
15498,22,stromal cell
15499,11,cancer cell
15501,11,cancer cell
15502,23,plasma cell
15503,20,cancer cell
15504,34,cancer cell
15507,6,cancer cell
15508,2,cancer cell
15509,3,cancer cell
15510,8,other
15511,23,other
15512,3,cancer cell
15513,20,cancer cell
15514,11,cancer cell
15515,15,myofibroblast
15517,1,cancer cell
15518,12,cancer cell
15519,2,cancer cell
15521,12,cancer cell
15523,3,cancer cell
15524,23,other
15525,3,cancer cell
15526,2,cancer cell
15527,12,cancer cell
15528,11,cancer cell
15530,23,plasma cell
15531,34,cancer cell
15532,13,immune cell
15533,23,other
15534,34,cancer cell
15536,3,cancer cell
15537,27,stromal cell
15538,34,cancer cell
15539,23,other
15540,23,plasma cell
15545,34,cancer cell
15546,37,cancer cell
15548,12,cancer cell
15550,-1,other
15551,5,cancer cell
15552,22,stromal cell
15555,3,cancer cell
15556,1,cancer cell
15557,14,stromal cell
15559,5,cancer cell
15560,32,cancer cell
15561,5,cancer cell
15562,2,cancer cell
15563,34,cancer cell
15564,5,cancer cell
15566,2,cancer cell
15567,16,other
15568,2,cancer cell
15569,2,cancer cell
15571,2,cancer cell
15572,1,cancer cell
15575,20,cancer cell
15579,34,cancer cell
15580,34,cancer cell
15583,15,myofibroblast
15586,28,immune cell
15588,3,cancer cell
15589,37,cancer cell
15591,2,cancer cell
15592,14,stromal cell
15593,34,cancer cell
15594,18,immune cell
15596,13,immune cell
15599,2,cancer cell
15600,30,other
15601,15,myofibroblast
15602,13,immune cell
15603,29,other
15604,16,other
15607,19,other
15609,9,other
15939,27,stromal cell
15941,-1,other
15942,12,cancer cell
15943,-1,other
15944,13,immune cell
15945,3,cancer cell
15946,19,other
15948,11,cancer cell
15949,13,immune cell
15951,-1,other
15952,5,cancer cell
15953,27,stromal cell
15954,11,cancer cell
15955,2,cancer cell
15959,13,immune cell
15960,13,immune cell
15961,13,immune cell
15962,9,other
15964,-1,other
15966,13,immune cell
15969,25,immune cell
15972,-1,other
15973,-1,other
15976,25,immune cell
15977,21,endothelial cell
15978,5,cancer cell
15979,-1,other
15980,13,immune cell
15981,5,cancer cell
15982,-1,other
15983,2,cancer cell
15984,-1,other
15986,13,immune cell
15987,20,cancer cell
15990,5,cancer cell
15991,21,endothelial cell
15992,13,immune cell
15993,13,immune cell
15994,27,stromal cell
15995,11,cancer cell
15996,5,cancer cell
15998,2,cancer cell
16002,9,other
16003,18,immune cell
16007,17,myofibroblast
16009,-1,other
16010,2,cancer cell
16011,21,endothelial cell
16012,17,myofibroblast
16014,-1,other
16019,25,immune cell
16021,2,cancer cell
16023,15,myofibroblast
16024,9,other
16027,2,cancer cell
16028,-1,other
16031,21,endothelial cell
16032,19,other
16035,2,cancer cell
16036,9,other
16037,15,myofibroblast
16038,18,immune cell
16039,20,cancer cell
16040,2,cancer cell
16042,37,cancer cell
16043,18,immune cell
16044,2,cancer cell
16045,17,myofibroblast
16046,5,cancer cell
16047,13,immune cell
16051,2,cancer cell
16052,14,stromal cell
16054,3,cancer cell
16055,13,immune cell
16056,4,cancer cell
16058,5,cancer cell
16059,21,endothelial cell
16061,18,immune cell
16063,3,cancer cell
16064,21,endothelial cell
16065,4,cancer cell
16066,3,cancer cell
16067,4,cancer cell
16068,34,cancer cell
16069,4,cancer cell
16071,8,other
16072,12,cancer cell
16073,11,cancer cell
16074,20,cancer cell
16075,5,cancer cell
16078,34,cancer cell
16079,12,cancer cell
16080,5,cancer cell
16081,1,cancer cell
16082,34,cancer cell
16084,12,cancer cell
16085,12,cancer cell
16086,3,cancer cell
16087,11,cancer cell
16088,1,cancer cell
16089,12,cancer cell
16090,11,cancer cell
16091,34,cancer cell
16093,11,cancer cell
16094,16,other
16095,20,cancer cell
16097,11,cancer cell
16098,1,cancer cell
16099,9,other
16103,1,cancer cell
16105,5,cancer cell
16107,5,cancer cell
16109,4,cancer cell
16110,5,cancer cell
16112,34,cancer cell
16113,11,cancer cell
16114,12,cancer cell
16115,11,cancer cell
16118,-1,other
16120,11,cancer cell
16121,12,cancer cell
16122,4,cancer cell
16123,1,cancer cell
16124,11,cancer cell
16125,11,cancer cell
16127,1,cancer cell
16128,12,cancer cell
16129,5,cancer cell
16130,1,cancer cell
16131,11,cancer cell
16132,20,cancer cell
16135,11,cancer cell
16136,4,cancer cell
16137,1,cancer cell
16138,21,endothelial cell
16139,4,cancer cell
16142,11,cancer cell
16143,5,cancer cell
16144,5,cancer cell
16145,1,cancer cell
16147,1,cancer cell
16151,14,stromal cell
16153,34,cancer cell
16154,5,cancer cell
16156,12,cancer cell
16157,37,cancer cell
16159,4,cancer cell
16160,6,cancer cell
16162,14,stromal cell
16163,34,cancer cell
16166,5,cancer cell
16167,12,cancer cell
16169,11,cancer cell
16170,11,cancer cell
16172,1,cancer cell
16173,5,cancer cell
16175,20,cancer cell
16176,2,cancer cell
16177,11,cancer cell
16178,12,cancer cell
16179,11,cancer cell
16180,5,cancer cell
16182,4,cancer cell
16183,28,immune cell
16184,11,cancer cell
16185,5,cancer cell
16186,11,cancer cell
16190,18,immune cell
16192,12,cancer cell
16193,17,myofibroblast
16195,12,cancer cell
16196,1,cancer cell
16197,11,cancer cell
16200,11,cancer cell
16201,2,cancer cell
16202,12,cancer cell
16203,11,cancer cell
16204,11,cancer cell
16205,11,cancer cell
16206,34,cancer cell
16207,5,cancer cell
16208,19,other
16209,33,other
16210,5,cancer cell
16211,11,cancer cell
16212,5,cancer cell
16213,8,other
16214,4,cancer cell
16215,12,cancer cell
16216,11,cancer cell
16218,12,cancer cell
16219,11,cancer cell
16221,12,cancer cell
16222,1,cancer cell
16223,19,other
16225,12,cancer cell
16226,27,stromal cell
16227,20,cancer cell
16229,12,cancer cell
16230,6,cancer cell
16231,1,cancer cell
16232,13,immune cell
16233,11,cancer cell
16234,12,cancer cell
16235,-1,other
16236,3,cancer cell
16237,1,cancer cell
16238,1,cancer cell
16239,1,cancer cell
16240,12,cancer cell
16243,2,cancer cell
16244,2,cancer cell
16245,19,other
16247,23,plasma cell
16248,1,cancer cell
16250,11,cancer cell
16251,12,cancer cell
16253,1,cancer cell
16254,6,cancer cell
16256,29,other
16257,12,cancer cell
16258,3,cancer cell
16259,4,cancer cell
16260,2,cancer cell
16261,14,stromal cell
16262,11,cancer cell
16263,11,cancer cell
16264,1,cancer cell
16266,2,cancer cell
16267,34,cancer cell
16268,3,cancer cell
16269,5,cancer cell
16272,-1,other
16276,12,cancer cell
16277,12,cancer cell
16278,11,cancer cell
16279,6,cancer cell
16281,2,cancer cell
16282,11,cancer cell
16284,5,cancer cell
16285,2,cancer cell
16286,34,cancer cell
16287,4,cancer cell
16288,28,immune cell
16291,20,cancer cell
16293,3,cancer cell
16294,29,other
16295,2,cancer cell
16296,5,cancer cell
16297,2,cancer cell
16298,29,other
16299,2,cancer cell
16300,4,cancer cell
16302,32,cancer cell
16304,11,cancer cell
16305,19,other
16306,2,cancer cell
16308,5,cancer cell
16309,20,cancer cell
16311,5,cancer cell
16312,19,other
16313,8,other
16315,12,cancer cell
16316,5,cancer cell
16317,12,cancer cell
16318,12,cancer cell
16319,2,cancer cell
16320,34,cancer cell
16321,20,cancer cell
16322,2,cancer cell
16323,14,stromal cell
16324,11,cancer cell
16327,11,cancer cell
16328,16,other
16329,5,cancer cell
16330,11,cancer cell
16331,5,cancer cell
16332,7,cancer cell
16333,11,cancer cell
16334,23,other
16337,11,cancer cell
16338,28,immune cell
16340,3,cancer cell
16341,11,cancer cell
16342,12,cancer cell
16343,5,cancer cell
16346,-1,other
16347,2,cancer cell
16348,16,other
16349,27,stromal cell
16350,34,cancer cell
16351,23,plasma cell
16352,12,cancer cell
16353,23,plasma cell
16354,11,cancer cell
16356,11,cancer cell
16358,3,cancer cell
16359,11,cancer cell
16361,12,cancer cell
16362,6,cancer cell
16365,5,cancer cell
16369,2,cancer cell
16372,34,cancer cell
16374,28,immune cell
16375,-1,other
16376,20,cancer cell
16378,11,cancer cell
16381,5,cancer cell
16382,34,cancer cell
16383,12,cancer cell
16385,11,cancer cell
16386,-1,other
16387,6,cancer cell
16388,11,cancer cell
16390,37,cancer cell
16391,34,cancer cell
16394,2,cancer cell
16395,1,cancer cell
16396,34,cancer cell
16398,19,other
16400,28,immune cell
16401,27,stromal cell
16402,2,cancer cell
16403,16,other
16658,8,other
16663,18,immune cell
16664,13,immune cell
16667,3,cancer cell
16668,18,immune cell
16670,5,cancer cell
16671,21,endothelial cell
16672,17,myofibroblast
16673,19,other
16674,15,myofibroblast
16675,17,myofibroblast
16676,20,cancer cell
16678,13,immune cell
16684,19,other
16686,11,cancer cell
16687,2,cancer cell
16688,2,cancer cell
16689,5,cancer cell
16690,18,immune cell
16691,5,cancer cell
16692,17,myofibroblast
16693,25,immune cell
16696,-1,other
16698,-1,other
16701,2,cancer cell
16703,11,cancer cell
16705,18,immune cell
16706,25,immune cell
16707,18,immune cell
16709,16,other
16710,13,immune cell
16713,11,cancer cell
16715,25,immune cell
16716,13,immune cell
16717,12,cancer cell
